window_queries,window_p50_e2e_ms,window_p95_e2e_ms,join_queries,join_p50_e2e_ms,join_p95_e2e_ms
200,581.337771,954.440559,1250,567.993314,967.432524
400,496.851892,955.058619,1750,585.855075,1113.617684
500,503.805539,976.637092,2000,633.939294,1178.606971
600,524.315531,988.360281,2100,697.494616,1245.313294
1000,462.464987,965.759427,2125,701.331014,1258.537892
1250,531.794641,959.566777,nan,nan,nan
1500,470.448778,949.463838,nan,nan,nan
1750,561.741695,975.869899,nan,nan,nan
2000,501.459336,978.042264,nan,nan,nan
2250,459.064909,952.320721,nan,nan,nan
2500,528.668269,909.393013,nan,nan,nan
2750,685.000932,1165.155167,nan,nan,nan
