window_queries,window_p50_e2e_ms,window_p95_e2e_ms,join_queries,join_p50_e2e_ms,join_p95_e2e_ms
250,30.329145,86.474420,250,30.400749,84.298222
500,36.250514,98.064960,500,37.876480,91.300071
1000,59.300845,167.472975,750,47.741201,127.823003
1500,75.034059,195.773255,1000,67.935393,200.828552
1750,109.167645,249.964123,1250,71.351213,175.477276
2200,152.165427,349.214471,1500,100.624196,274.837506
2250,197.575368,479.901670,1625,99.864348,262.593843
2300,155.380340,571.674228,1750,131.257171,361.725216
2350,225.546358,673.605474,1800,201.748500,575.855271
2450,191.801712,504.425996,1850,222.990503,677.387064
2600,322.659019,995.418750,nan,nan,nan
2750,428.475761,1327.216122,nan,nan,nan
