w,p50_e2e_ms,p95_e2e_ms,zero_cpu_pct,achieved_ratio,valid_rate
400,35.05581,194.262598,67.7,1.0,1
425,41.589408,179.211565,68.0,1.0,1
450,48.777181,200.177777,70.2,1.0,1
475,86.377836,324.06657,76.3,0.999,1
500,83.822855,297.330836,77.2,0.998,1
525,108.04272,271.717118,78.3,0.999,1
550,125.102236,389.776736,79.6,0.998,1
575,145.87012,410.299191,80.7,0.997,1
600,156.020702,384.94106,84.7,0.994,1
625,160.773164,350.831285,84.6,0.991,1
650,200.354321,522.005052,88.5,0.986,1
675,225.910407,513.571995,90.3,0.969,1
700,220.542882,635.97956,89.8,0.96,1
725,272.903979,718.426458,90.0,0.953,1
750,308.881756,767.64022,92.4,0.954,1
775,318.059903,712.342458,92.6,0.946,0
800,364.57938,701.333878,93.4,0.933,0
825,347.238285,681.077215,93.7,0.913,0
850,398.518406,820.673736,95.7,0.897,0
875,455.458069,901.349899,91.6,0.902,0
900,464.07976,791.845962,94.1,0.898,0
